ID,GENERO,EDAD,N,AC_Y,ACTIVIDAD
1,0,1,0,6.125574588775635,1
1,0,1,1,6.125574588775635,1
1,0,1,2,6.125574588775635,1
1,0,1,3,6.125574588775635,1
1,0,1,4,6.125574588775635,1
1,0,1,5,6.125574588775635,1
1,0,1,6,6.038502216339111,1
1,0,1,7,6.038502216339111,1
1,0,1,8,6.038502216339111,1
1,0,1,9,5.966187953948975,1
1,0,1,10,6.062051773071289,1
1,0,1,11,6.06072998046875,1
1,0,1,12,6.141721248626709,1
1,0,1,13,6.141721248626709,1
1,0,1,14,6.00894832611084,1
1,0,1,15,5.953575134277344,1
2,0,1,0,6.141721248626709,1
2,0,1,1,6.141721248626709,1
2,0,1,2,6.00894832611084,1
2,0,1,3,5.953575134277344,1
2,0,1,4,6.004792213439941,1
2,0,1,5,5.927526473999023,1
2,0,1,6,5.927526473999023,1
2,0,1,7,6.020105361938477,1
2,0,1,8,6.100061893463135,1
2,0,1,9,5.987984657287598,1
2,0,1,10,5.987984657287598,1
2,0,1,11,5.9633049964904785,1
2,0,1,12,5.945492267608643,1
2,0,1,13,6.03428840637207,1
2,0,1,14,6.022317409515381,1
2,0,1,15,6.022317409515381,1
3,0,1,0,5.945492267608643,1
3,0,1,1,6.03428840637207,1
3,0,1,2,6.022317409515381,1
3,0,1,3,6.022317409515381,1
3,0,1,4,6.004179000854492,1
3,0,1,5,5.916733264923096,1
3,0,1,6,6.087669372558594,1
3,0,1,7,6.087669372558594,1
3,0,1,8,6.010403633117676,1
3,0,1,9,6.016552448272705,1
3,0,1,10,6.089747428894043,1
3,0,1,11,6.089747428894043,1
3,0,1,12,6.134232044219971,1
3,0,1,13,6.125411510467529,1
3,0,1,14,6.011744499206543,1
3,0,1,15,6.10330867767334,1
4,0,2,0,24.42499351501465,1
4,0,2,1,16.916156768798828,1
4,0,2,2,-24.8088321685791,1
4,0,2,3,-24.8088321685791,1
4,0,2,4,25.501331329345703,1
4,0,2,5,28.83958625793457,1
4,0,2,6,-38.94917297363281,1
4,0,2,7,-38.94917297363281,1
4,0,2,8,8.322705268859863,1
4,0,2,9,45.113101959228516,1
4,0,2,10,-26.05647087097168,1
4,0,2,11,-25.85541534423828,1
4,0,2,12,-25.85541534423828,1
4,0,2,13,57.1464729309082,1
4,0,2,14,3.644444227218628,1
4,0,2,15,-52.49058151245117,1
5,0,2,0,-25.85541534423828,1
5,0,2,1,57.1464729309082,1
5,0,2,2,3.644444227218628,1
5,0,2,3,-52.49058151245117,1
5,0,2,4,-52.49058151245117,1
5,0,2,5,31.429872512817383,1
5,0,2,6,33.20344924926758,1
5,0,2,7,-56.652618408203125,1
5,0,2,8,-29.371885299682617,1
5,0,2,9,-29.371885299682617,1
5,0,2,10,70.4733657836914,1
5,0,2,11,-13.743800163269043,1
5,0,2,12,-56.328758239746094,1
5,0,2,13,-56.328758239746094,1
5,0,2,14,31.86162567138672,1
5,0,2,15,30.494430541992188,1
6,0,2,0,-56.328758239746094,1
6,0,2,1,-56.328758239746094,1
6,0,2,2,31.86162567138672,1
6,0,2,3,30.494430541992188,1
6,0,2,4,-68.53840637207031,1
6,0,2,5,-68.53840637207031,1
